014T517-08/09SEL,8,17,9,21,4,5
014T517-10/08/09SES,13,14,11,25,8,7
014T517-17LZA,6,0,1,8,2,1
014T517-17SZA,1,14,5,13,2,4
014T517-20SE,6,4,4,0,4,4
014T517-20ZA,6,6,4,0,4,4
014T517-49/50ARM,13,22,15,14,6,6
014T517-49/50SE-1,13,25,15,14,6,6
014T517-49/50SE-2,13,26,15,14,6,6
014T517-49/50ZA-1,13,22,15,14,6,6
014T517-49/50ZA-2,13,21,25,14,6,6
014T521-501,0,0,0,0,0,0
014T521-502,1,0,0,0,0,0
014T521-503,4,2,2,0,0,0
014T521-504,2,0,2,2,0,0
014T521-505,8,0,0,6,2,2
014T521-506,0,2,0,0,0,0
014T521-600,1,0,1,1,0,0
014T521-601,1,0,0,0,0,0
014T521-602,6,2,4,2,0,0
014T521-603,8,2,0,6,2,2
014T521-701,16,4,4,8,2,2
014T565-35,,,,,,
014T565-36,,,,,,
014T565-37,,,,,,
014T565-38,,,,,,
015HF-08MIC,0,0,0,0,0,0
015HF-08MOC,0,0,0,0,0,0
015HF-10MIC,0,0,1,0,0,0
015HF-10MOC,0,0,1,0,0,0
015HF-12MIC,0,0,1,0,0,0
015HF-12MOC,0,0,1,0,0,0
015HF-14MIC,0,0,0,0,0,0
015HF-14MOC,0,0,0,0,0,0
015HF-16MIC,0,0,0,0,0,0
015HF-16MOC,0,0,0,0,0,0
CH907-03  SP/122N,,,,,,
CH907-17  SP/122N,,,,,,
"CH907-06  SP/122N,SP/126N",,,,,,
"CH907-07  SP/122N,SP/126N",,,,,,
"CH907-49  SP/122N,SP/126N",,,,,,
"CH907-50  SP/122N,SP/126N",,,,,,
CH907-03  SP/126N,,,,,,
CH907-17  SP/126N,,,,,,
"CH907-06  SP/126N,SP/122N",,,,,,
"CH907-07  SP/126N,SP/122N",,,,,,
"CH907-49  SP/126N,SP/122N",,,,,,
"CH907-50  SP/126N,SP/122N",,,,,,
