資産区分,資産区分名,拠点CD,拠点名,品目区分,品目区分名,品目CD,品目名,在庫場所CD,在庫場所名,ロケーション,在庫状態区分名,ロット番号,工順,手配内容名,前月末在庫数,在庫単位名,当月入庫数,当月出庫数,現在在庫数,評価単価,現在在庫金額,規格,型式,受注製品名,備考,サイズ１,サイズ２,サイズ３,品種CD,品種名,品目分類CDＡ,品目分類CDＡ名,原価計算しない区分,品目分類CDＢ名,発注フラグ,品目分類CDＣ名,品種大分類CD,品種大分類名,品種中分類CD,品種中分類名,品種小分類CD,品種小分類名,在庫予備項目１,在庫予備項目２,在庫予備項目３,入庫数内訳１,入庫数内訳２,入庫数内訳３,入庫数内訳４,入庫数内訳５,入庫数内訳６,入庫数内訳７,入庫数内訳８,入庫数内訳９,入庫数内訳１０,出庫数内訳１,出庫数内訳２,出庫数内訳３,出庫数内訳４,出庫数内訳５,出庫数内訳６,出庫数内訳７,出庫数内訳８,出庫数内訳９,出庫数内訳１０
1,自社資産,1,南濃工場,5,主要材料,001SP/90,ｱﾈﾙｶMS（ﾐﾓｻﾞ),Z001,南濃倉庫,,通常,,999,購入,11.7,m,0,5.8,5.9,880,5192,SP/90,,,,1.37,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/91,ｱﾈﾙｶG（ｸﾞﾘｰﾝ),Z001,南濃倉庫,,通常,,999,購入,22.9,m,0,0,22.9,880,20152,SP/91,,,,1.37,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/92,ｱﾈﾙｶR (ﾚｯﾄﾞ) ,Z001,南濃倉庫,,通常,,999,購入,35.3,m,0,0,35.3,880,31064,SP/92,,,,1.37,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/93,ｱﾈﾙｶP (ﾊﾟｰﾌﾟﾙ) ,Z001,南濃倉庫,,通常,,999,購入,38.5,m,0,0,38.5,880,33880,SP/93,,,,1.37,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001T4543,ﾗﾑｰｽ4543,Z001,南濃倉庫,,通常,,999,購入,0.6,m,0,0,0.6,3760,2256,T4543,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001T4547,ﾗﾑｰｽ4547(=5474）,Z001,南濃倉庫,,通常,,999,購入,7.7,m,0,0,7.7,3760,28952,T4547,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001T7046,ｶﾞﾁﾗｲﾄ T7046,Z001,南濃倉庫,,通常,,999,購入,3.7,m,0,0,3.7,2480,9176,T7046,,,,1.5,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001T7154,ﾗﾑｰｽT7154(=4516),Z001,南濃倉庫,,通常,,999,購入,0,m,1.5,1.5,0,3760,0,T7154,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001T7159,ﾗﾑｰｽT7159,Z001,南濃倉庫,,通常,,999,購入,0,m,0.7,0,0.7,3760,2632,T7159,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001T7162,ﾗﾑｰｽT7162,Z001,南濃倉庫,,通常,,999,購入,10.7,m,7.5,13.6,4.6,3760,17296,T7162,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,7.5,0,0,0,0,0,0,0,0,0,13.6,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001T7165,ﾗﾑｰｽT7165(=4522),Z001,南濃倉庫,,通常,,999,購入,0,m,15.2,0,15.2,3760,57152,T7165,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001T7166,001ﾗﾑｰｽT7166(=4530),Z001,南濃倉庫,,通常,,999,購入,0,m,1.9,1.3,0.6,3760,2256,T7166,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,1.9,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001T7168,ﾗﾑｰｽT7168(=4537),Z001,南濃倉庫,,通常,,999,購入,0,m,5.1,5.1,0,3760,0,T7168,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,5.1,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001T7172,ﾗﾑｰｽT7172(=4533),Z001,南濃倉庫,,通常,,999,購入,0,m,3.5,0,3.5,3760,13160,T7172,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001T7176,ﾗﾑｰｽT7176,Z001,南濃倉庫,,通常,,999,購入,0,m,11.2,11.2,0,3760,0,T7176,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,11.2,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001T7178,ﾗﾑｰｽT7178,Z001,南濃倉庫,,通常,,999,購入,1.3,m,0,0,1.3,3760,4888,T7178,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
